Price,Adj Close,Close,High,Low,Open,Volume
Ticker,UNVR.JK,UNVR.JK,UNVR.JK,UNVR.JK,UNVR.JK,UNVR.JK
Date,,,,,,
2006-05-01,578.6386108398438,1000.0,1020.0,915.0,940.0,92590040
2006-05-08,543.9203491210938,940.0,1010.0,930.0,960.0,100
2006-05-15,488.949462890625,845.0,935.0,820.0,875.0,30787540
2006-05-22,468.6971130371094,810.0,845.0,800.0,840.0,60
2006-05-29,497.62908935546875,860.0,870.0,795.0,820.0,4567580
2006-06-05,457.124267578125,790.0,860.0,775.0,845.0,100
2006-06-12,483.16302490234375,835.0,840.0,725.0,780.0,24670080
2006-06-19,468.6971130371094,810.0,835.0,790.0,830.0,4015080
2006-06-26,491.67999267578125,825.0,825.0,790.0,800.0,4807560
2006-07-03,512.5393676757812,860.0,875.0,815.0,820.0,8745060
2006-07-10,494.66009521484375,830.0,875.0,830.0,860.0,1430080
2006-07-17,494.66009521484375,830.0,860.0,820.0,830.0,3420080
2006-07-24,503.5997314453125,845.0,850.0,820.0,830.0,8567540
2006-07-31,512.5393676757812,860.0,870.0,840.0,845.0,7577560
2006-08-07,515.5192260742188,865.0,875.0,845.0,865.0,4175080
2006-08-14,518.4991455078125,870.0,880.0,860.0,865.0,9327520
2006-08-21,506.57952880859375,850.0,870.0,845.0,870.0,3750035
2006-08-28,536.37841796875,900.0,910.0,845.0,850.0,100
2006-09-04,527.4387817382812,885.0,910.0,860.0,900.0,3945060
2006-09-11,527.4387817382812,885.0,900.0,865.0,875.0,3490060
2006-09-18,536.37841796875,900.0,920.0,880.0,890.0,1567580
2006-09-25,548.2979736328125,920.0,920.0,890.0,900.0,4295060
2006-10-02,557.2374877929688,935.0,945.0,905.0,915.0,5132580
2006-10-09,572.1367797851562,960.0,970.0,925.0,930.0,1412580
2006-10-16,572.1367797851562,960.0,975.0,930.0,960.0,4432560
2006-10-23,572.1367797851562,960.0,960.0,960.0,960.0,0
2006-10-30,590.0161743164062,990.0,995.0,940.0,970.0,7995060
2006-11-06,607.8953247070312,1020.0,1050.0,1000.0,1005.0,3775080
2006-11-13,613.8552856445312,1030.0,1030.0,990.0,1000.0,100
2006-11-20,661.533203125,1110.0,1120.0,1000.0,1030.0,10512575
2006-11-27,721.1307983398438,1210.0,1260.0,1100.0,1120.0,9577580
2006-12-04,761.3411254882812,1260.0,1320.0,1210.0,1230.0,4227560
2006-12-11,797.595458984375,1320.0,1330.0,1250.0,1260.0,10947560
2006-12-18,797.595458984375,1320.0,1370.0,1270.0,1360.0,100
2006-12-25,797.595458984375,1320.0,1340.0,1300.0,1320.0,6135035
2007-01-01,779.4683837890625,1290.0,1380.0,1270.0,1320.0,80
2007-01-08,749.25634765625,1240.0,1290.0,1140.0,1270.0,24777550
2007-01-15,767.3836669921875,1270.0,1270.0,1220.0,1230.0,6132580
2007-01-22,706.959716796875,1170.0,1270.0,1150.0,1250.0,100
2007-01-29,743.2139282226562,1230.0,1230.0,1130.0,1170.0,95
2007-02-05,713.0021362304688,1180.0,1240.0,1170.0,1220.0,13427520
2007-02-12,700.9172973632812,1160.0,1190.0,1140.0,1180.0,100
2007-02-19,694.8748779296875,1150.0,1180.0,1140.0,1160.0,4782560
2007-02-26,670.7051391601562,1110.0,1160.0,1080.0,1140.0,100
2007-03-05,676.7479248046875,1120.0,1140.0,1080.0,1100.0,33855020
2007-03-12,682.7902221679688,1130.0,1130.0,1090.0,1120.0,4380060
2007-03-19,676.7479248046875,1120.0,1130.0,1060.0,1130.0,4242560
2007-03-26,688.8325805664062,1140.0,1150.0,1120.0,1130.0,2175080
2007-04-02,688.8325805664062,1140.0,1180.0,1120.0,1120.0,19675060
2007-04-09,725.0870361328125,1200.0,1200.0,1130.0,1140.0,3545080
2007-04-16,700.9172973632812,1160.0,1240.0,1130.0,1220.0,6057580
2007-04-23,676.7479248046875,1120.0,1180.0,1110.0,1150.0,10160080
2007-04-30,706.959716796875,1170.0,1190.0,1120.0,1130.0,50202540
2007-05-07,688.8325805664062,1140.0,1190.0,1140.0,1150.0,16922580
2007-05-14,725.0870361328125,1200.0,1200.0,1130.0,1140.0,20435040
2007-05-21,749.25634765625,1240.0,1270.0,1200.0,1220.0,19362560
2007-05-28,761.3411254882812,1260.0,1260.0,1230.0,1250.0,15507540
2007-06-04,761.3411254882812,1260.0,1280.0,1220.0,1220.0,100
2007-06-11,827.8074951171875,1370.0,1420.0,1280.0,1280.0,27902580
2007-06-18,870.1043701171875,1440.0,1470.0,1370.0,1370.0,25505060
2007-06-25,809.6802368164062,1340.0,1430.0,1320.0,1420.0,32930060
2007-07-02,842.4329223632812,1370.0,1410.0,1320.0,1350.0,5695080
2007-07-09,867.0294799804688,1410.0,1440.0,1340.0,1380.0,100
2007-07-16,922.3718872070312,1500.0,1500.0,1390.0,1390.0,10650080
2007-07-23,879.3278198242188,1430.0,1530.0,1420.0,1470.0,46672500
2007-07-30,842.4329223632812,1370.0,1540.0,1370.0,1440.0,23267560
2007-08-06,823.9854125976562,1340.0,1500.0,1310.0,1500.0,24420060
2007-08-13,701.0028686523438,1140.0,1360.0,1080.0,1340.0,50382520
2007-08-20,842.4329223632812,1370.0,1410.0,1210.0,1270.0,29550060
2007-08-27,836.28369140625,1360.0,1410.0,1340.0,1400.0,9897580
2007-09-03,860.8803100585938,1400.0,1410.0,1350.0,1380.0,100
2007-09-10,817.8364868164062,1330.0,1380.0,1320.0,1360.0,16520060
2007-09-17,854.7313232421875,1390.0,1400.0,1320.0,1330.0,10022580
2007-09-24,836.28369140625,1360.0,1420.0,1350.0,1380.0,6875060
2007-10-01,916.2227172851562,1490.0,1490.0,1360.0,1370.0,24542580
2007-10-08,922.3718872070312,1500.0,1530.0,1440.0,1450.0,80
2007-10-15,848.5824584960938,1380.0,1500.0,1380.0,1500.0,18060020
2007-10-22,848.5824584960938,1380.0,1410.0,1340.0,1360.0,49707520
2007-10-29,823.9854125976562,1340.0,1400.0,1320.0,1380.0,105295020
2007-11-05,817.8364868164062,1330.0,1360.0,1300.0,1340.0,67435035
2007-11-12,811.6871337890625,1320.0,1340.0,1280.0,1300.0,58285000
2007-11-19,799.3890380859375,1300.0,1320.0,1240.0,1320.0,38292520
2007-11-26,817.8364868164062,1330.0,1380.0,1250.0,1290.0,72735040
2007-12-03,848.3070678710938,1360.0,1390.0,1280.0,1340.0,49690020
2007-12-10,823.3567504882812,1320.0,1360.0,1320.0,1360.0,18117520
2007-12-17,817.1195678710938,1310.0,1330.0,1290.0,1320.0,15165000
2007-12-24,842.0695190429688,1350.0,1370.0,1310.0,1310.0,10432540
2007-12-31,860.7821655273438,1380.0,1390.0,1350.0,1350.0,26215000
2008-01-07,898.2075805664062,1440.0,1440.0,1370.0,1400.0,51325020
2008-01-14,829.5942993164062,1330.0,1440.0,1280.0,1440.0,35372500
2008-01-21,829.5942993164062,1330.0,1350.0,1220.0,1310.0,52760020
2008-01-28,854.5446166992188,1370.0,1400.0,1290.0,1300.0,30150020
2008-02-04,842.0695190429688,1350.0,1390.0,1350.0,1350.0,3167540
2008-02-11,848.3070678710938,1360.0,1390.0,1290.0,1320.0,12490075
2008-02-18,842.0695190429688,1350.0,1390.0,1320.0,1350.0,11325080
2008-02-25,848.3070678710938,1360.0,1390.0,1350.0,1360.0,17300060
2008-03-03,860.7821655273438,1380.0,1380.0,1320.0,1330.0,4387560
2008-03-10,848.3070678710938,1360.0,1400.0,1330.0,1360.0,42342500
2008-03-17,867.019775390625,1390.0,1400.0,1300.0,1300.0,9902530
2008-03-24,860.7821655273438,1380.0,1390.0,1350.0,1380.0,37262500
2008-03-31,860.7821655273438,1380.0,1400.0,1340.0,1380.0,38585020
2008-04-07,867.019775390625,1390.0,1390.0,1280.0,1380.0,25367520
2008-04-14,854.5446166992188,1370.0,1390.0,1330.0,1390.0,7027540
2008-04-21,810.8820190429688,1300.0,1380.0,1290.0,1380.0,26422520
2008-04-28,860.7821655273438,1380.0,1390.0,1290.0,1300.0,33077500
2008-05-05,848.3070678710938,1360.0,1430.0,1350.0,1400.0,17167500
2008-05-12,842.0695190429688,1350.0,1380.0,1340.0,1360.0,23605000
2008-05-19,854.5446166992188,1370.0,1370.0,1320.0,1340.0,28892500
2008-05-26,842.0695190429688,1350.0,1370.0,1320.0,1360.0,27142500
2008-06-02,842.0695190429688,1350.0,1400.0,1340.0,1350.0,21230020
2008-06-09,842.0695190429688,1350.0,1350.0,1330.0,1340.0,29310020
2008-06-16,823.3567504882812,1320.0,1370.0,1320.0,1370.0,100
2008-06-23,829.5942993164062,1330.0,1360.0,1320.0,1360.0,5497560
2008-06-30,850.6398315429688,1330.0,1360.0,1300.0,1350.0,100
2008-07-07,825.0569458007812,1290.0,1360.0,1290.0,1340.0,100
2008-07-14,812.265380859375,1270.0,1310.0,1230.0,1290.0,987580
2008-07-21,837.8484497070312,1310.0,1320.0,1270.0,1280.0,12405040
2008-07-28,844.244140625,1320.0,1400.0,1310.0,1330.0,21667560
2008-08-04,895.4105224609375,1400.0,1420.0,1320.0,1360.0,100
2008-08-11,876.22314453125,1370.0,1400.0,1330.0,1370.0,1600080
2008-08-18,895.4105224609375,1400.0,1440.0,1350.0,1370.0,3230060
2008-08-25,927.3897094726562,1450.0,1450.0,1400.0,1440.0,10412560
2008-09-01,952.97265625,1490.0,1540.0,1440.0,1480.0,100
2008-09-08,882.6188354492188,1380.0,1600.0,1380.0,1550.0,9825080
2008-09-15,869.8273315429688,1360.0,1450.0,1340.0,1380.0,11100080
2008-09-22,1004.1389770507812,1570.0,1570.0,1360.0,1400.0,100
2008-09-29,959.3683471679688,1500.0,1680.0,1500.0,1500.0,20
2008-10-06,914.5978393554688,1430.0,1580.0,1430.0,1480.0,60
2008-10-13,978.555908203125,1530.0,1640.0,1300.0,1500.0,12687580
2008-10-20,927.3897094726562,1450.0,1680.0,1450.0,1560.0,44367560
2008-10-27,952.97265625,1490.0,1510.0,1230.0,1360.0,36210060
2008-11-03,991.347412109375,1550.0,1620.0,1510.0,1590.0,13162580
