Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ADRO.JK,ADRO.JK,ADRO.JK,ADRO.JK,ADRO.JK,ADRO.JK
Date,,,,,,
2011-08-22,508.1809387207031,2025.0,2300.0,1990.0,2225.0,445076500
2011-08-29,508.1809387207031,2025.0,2025.0,2025.0,2025.0,0
2011-09-05,508.1809387207031,2025.0,2125.0,1980.0,1990.0,408809000
2011-09-12,496.8879699707031,1980.0,2025.0,1930.0,1970.0,305532500
2011-09-19,414.07342529296875,1650.0,1970.0,1560.0,1940.0,337945500
2011-09-26,431.64019775390625,1720.0,1780.0,1430.0,1520.0,658885000
2011-10-03,421.6020812988281,1680.0,1760.0,1500.0,1610.0,431291500
2011-10-10,476.8117370605469,1900.0,1920.0,1640.0,1670.0,445486500
2011-10-17,479.3213195800781,1910.0,1990.0,1860.0,1960.0,364171500
2011-10-24,533.2762451171875,2125.0,2150.0,1940.0,1950.0,425177000
2011-10-31,514.4547729492188,2050.0,2125.0,1930.0,2025.0,290160000
2011-11-07,514.4547729492188,2050.0,2150.0,2025.0,2075.0,151573500
2011-11-14,491.8689880371094,1960.0,2100.0,1950.0,2050.0,149811000
2011-11-21,469.2832336425781,1870.0,1940.0,1830.0,1880.0,341095500
2011-11-28,494.378662109375,1970.0,1970.0,1880.0,1900.0,259559000
2011-12-05,487.30670166015625,1920.0,2025.0,1920.0,1970.0,173741500
2011-12-12,467.0021667480469,1840.0,1960.0,1790.0,1930.0,299288500
2011-12-19,449.2358703613281,1770.0,1840.0,1730.0,1840.0,271184000
2011-12-26,449.2358703613281,1770.0,1790.0,1740.0,1770.0,101921500
2012-01-02,449.2358703613281,1770.0,1830.0,1750.0,1760.0,275202500
2012-01-09,459.38800048828125,1810.0,1830.0,1760.0,1780.0,202952500
2012-01-16,461.9261169433594,1820.0,1850.0,1760.0,1780.0,222962000
2012-01-23,472.0782470703125,1860.0,1860.0,1820.0,1820.0,135797500
2012-01-30,487.30670166015625,1920.0,1980.0,1790.0,1820.0,437701000
2012-02-06,489.8445739746094,1930.0,2025.0,1910.0,1940.0,285917500
2012-02-13,502.5349426269531,1980.0,1980.0,1900.0,1950.0,187920000
2012-02-20,487.30670166015625,1920.0,2000.0,1900.0,1990.0,214712000
2012-02-27,499.9969177246094,1970.0,1970.0,1870.0,1890.0,224532500
2012-03-05,487.30670166015625,1920.0,1970.0,1900.0,1950.0,119289500
2012-03-12,487.30670166015625,1920.0,1980.0,1910.0,1950.0,127141500
2012-03-19,482.2304992675781,1900.0,1940.0,1870.0,1910.0,193078500
2012-03-26,489.8445739746094,1930.0,1930.0,1870.0,1890.0,345503000
2012-04-02,484.7685241699219,1910.0,1960.0,1890.0,1960.0,106028500
2012-04-09,464.464111328125,1830.0,1920.0,1800.0,1900.0,208497500
